id,name,is_public
113,Самозахват части площади общего имущества при перепланировке,1
114,Ведение строительных работ  без разрешения на строительство,1
115,Неисправный домофон,1
116,Неисправный доводчик входной двери,1
117,Строительство без внесения изменений в проектную документацию,0
118,Неисправное освещение в лифте,1
119,Неисправное освещение в подъезде,1
120,Неисправна подъемная платформа для инвалидов,1
121,Неудовлетворительное техническое/санитарное состояние транспортных средств,1
122,Неисправный лифт,1
123,Неисправный (ая) пандус / аппарель,1
124,Передача общего имущества собственников помещений  в пользование иным лицам,1
125,"Повреждение остановочного павильона, совмещенного с рекламной конструкцией",1
126,Предложения по установке искусственных неровностей на проездах и въездах,1
127,Предложение по организации дополнительных парковочных мест,1
128,Отсутствие/ненадлежащее состояние ограждений газонов,0
129,"Отсутствие/ненадлежащее состояние малых архитектурных форм, уличной мебели и хозяйственно-бытового оборудования, необходимого для благоустройства территории",0
130,"Незаконное проживание иностранных граждан в местах общего пользования многоквартирного дома (подвалы, чердаки)",1
131,Отсутствие зон отдыха,1
132,Не обустроена территория детской площадки,1
133,Не обустроена территория спортивной площадки,1
134,Незаконное проживание иностранных граждан  в квартирах многоквартирных домов,1
135,Не оборудована контейнерная площадка,1
136,Аварийные деревья,1
137,Формирование  этнических  анклавов,1
138,Больные деревья и кустарники,0
139,"Незаконное  проживание иностранных граждан в домах,  признанных   аварийными и  подлежащими сносу или реконструкции",1
140,Разукомплектованный грузовой автотранспорт,1
141,Привлечение к трудовой деятельности иностранных граждан,1
142,Разукомплектованное легковое транспортное средство,1
143,"Механическое повреждение объектов для размещения информации, установленных на зданиях или ином недвижимом имуществе",0
144,"Ненадлежащее (неисправное) состояние уличной мебели и оборудования в садах, парках, скверах (в том числе на территориях детских и спортивных площадок, зон отдыха)",1
145,Посторонние надписи/объявления на отдельно стоящих объектах для размещения информации,0
146,Механическое повреждение отдельно стоящих рекламных конструкций,0
147,Механическое повреждение отдельно стоящих объектов для размещения информации,0
148,Наличие посторонних надписей/объявлений на отдельно стоящих рекламных конструкциях,0
149,Обрыв рекламного полотна на отдельно стоящих рекламных конструкциях,0
150,"Механическое повреждение рекламных конструкций, установленных на зданиях или ином недвижимом имуществе",0
152,Надписи на фасаде здания экстремистского характера,0
153,"Повреждение остановочного павильона, не оборудованного рекламной конструкцией",1
154,Предоставление государственной услуги без утвержденного регламента,0
155,Отсутствие справочной информации на информационных стендах учреждений,1
156,Неудовлетворительное санитарное состояние в помещениях учреждений культуры,1
