shop,name,lat,lon
convenience,Продукты,59.906124,30.4604779
hairdresser,,59.9060969,30.46031
convenience,Маркет,59.9551045,30.3026305
convenience,,59.7920613,31.0654821
supermarket,Ладоград,59.9369236,30.4825236
supermarket,Пятёрочка,59.8727379,30.3914363
supermarket,Полушка,59.8710896,30.4060901
convenience,Суши шоп,59.8655248,30.4132142
supermarket,Народная 7Я семьЯ,59.8487811,30.3126624
supermarket,Народная 7Я семьЯ,59.9579795,30.2998459
convenience,Продукты,59.9321468,30.302513
supermarket,Гастроном 811,59.9325569,30.3038766
yes,Фаэтон,59.7525055,30.6082289
computer,DNS - цифровой супермаркет,59.8767647,30.4463598
sports,Кант,59.8766456,30.4464801
sports,СпортМастер,59.8756556,30.4474743
mobile_phone,Хорошая связь,59.9265295,30.3189549
supermarket,Ашан Сити,59.9898087,30.2568749
supermarket,Пятёрочка,60.012577,30.2422787
convenience,,60.0074072,30.2596487
convenience,,60.0075206,30.2467362
supermarket,Смарт,60.0060219,30.2615942
supermarket,Пятёрочка,60.0496164,30.3536697
supermarket,Prisma,59.9245828,30.3857108
convenience,Продукты,59.8782176,30.4731803
books,Прометей,59.88085,30.4641957
clothes,Solo,59.8817668,30.4681476
supermarket,Полушка,59.8811069,30.4684912
florist,,59.8817539,30.4688184
chemist,Улыбка радуги,59.8800847,30.4612742
toys,Мульти мир,59.8805539,30.4629904
supermarket,Магнит,59.9727439,31.0271632
convenience,Продукты,60.0151829,30.2648724
car_repair,Евроавто,59.9666872,30.2849134
car_repair,EuroAuto,60.0018873,30.3037534
supermarket,Дикси,59.8499715,30.3250454
florist,ЦветыОптРозница,59.8497082,30.3250565
supermarket,Нетто,59.8472275,30.3305281
newsagent,,59.8439654,30.3307292
supermarket,Полушка,59.9307013,30.2445722
books,Книжный магазин,59.9069575,30.4814084
convenience,Фермер,59.8831955,30.4798621
hairdresser,"Салон красоты ""Фея""",59.8840408,30.483822
convenience,Продукты,59.8839921,30.4834242
clothes,Одежда,59.8798734,30.4603028
department_store,1000 и 1 сумка,59.8793343,30.4612762
shoes,Обувь Фаворит,59.8794923,30.4619274
electronics,Вест телеком,59.879691,30.4627326
florist,Цветы оптом и в розницу,59.8801201,30.4644687
supermarket,Дикси,59.5704078,30.063014
confectionery,Мечта,59.8491277,30.3304138
sports,Спорт товары,59.8526579,30.3309393
clothes,Спецодежда «Восток-Сервис»,59.9602635,30.4499255
convenience,,59.5708644,30.0769978
doityourself,Сад-огород,59.5748763,30.0736527
supermarket,Ашан,59.8692524,30.3508704
doityourself,Оби,59.8705751,30.3489855
computer,Компьютерный Мир,59.9290511,30.3472757
convenience,,59.9433172,30.4739899
supermarket,Карусель,59.9462938,30.4752919
alcohol,Градусы,59.9464091,30.4691378
supermarket,Верный,59.9464996,30.469366
supermarket,Народная 7Я семьЯ,59.890359,30.2706915
convenience,,60.1909403,30.0176615
supermarket,Пятёрочка,60.0327798,30.3846117
